"juror_id","trial__id","struck_by","race","defendant_race","accused","fam_accused","know_def","fam_law_enforcement","death_hesitation","strike_eligibility","know_vic","know_wit","fam_crime_victim","crime_victim","prior_info","gender","same_race","struck_state_bin","struck_state","is_black"
9152,177,"Struck by the defense","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,0,"not_state",FALSE
3091,62,"Juror chosen to serve on jury","Black","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",TRUE
3118,62,"Juror chosen as alternate","White","White",FALSE,FALSE,FALSE,TRUE,FALSE,"State",TRUE,FALSE,TRUE,FALSE,FALSE,"Male",TRUE,0,"not_state",FALSE
3188,64,"Juror chosen to serve on jury","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",FALSE
3201,64,"Struck by the state","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",FALSE
3202,64,"Struck by the defense","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",FALSE
3203,64,"Juror chosen to serve on jury","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",FALSE
3204,64,"Struck by the state","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,1,"state",FALSE
3205,64,"Juror chosen to serve on jury","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",FALSE
3206,64,"Struck by the defense","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,TRUE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",FALSE
3207,64,"Juror chosen to serve on jury","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,0,"not_state",FALSE
3208,64,"Struck by the state","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,1,"state",FALSE
3209,64,"Juror chosen to serve on jury","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,0,"not_state",FALSE
3210,64,"Struck by the defense","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",FALSE
3211,64,"Struck by the state","Black","White",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,1,"state",TRUE
3250,65,"Struck by the state","Black","Black",FALSE,FALSE,TRUE,FALSE,FALSE,"State",FALSE,TRUE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
3251,65,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3252,65,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3253,65,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3256,65,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3257,65,"Juror chosen to serve on jury","Black","Black",FALSE,FALSE,TRUE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,0,"not_state",TRUE
3258,65,"Struck by the defense","White","Black",FALSE,FALSE,TRUE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3260,65,"Juror chosen to serve on jury","White","Black",FALSE,TRUE,TRUE,TRUE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3261,65,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3264,65,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3265,65,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3372,68,"Struck by the defense","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,0,"not_state",FALSE
3267,65,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3268,65,"Juror chosen to serve on jury","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",TRUE
