"Grip","Distance","X"
"Finger Out",33,NA
"Finger Out",32,NA
"Finger Out",23,NA
"Finger Out",36,NA
"Finger Out",26,NA
"Finger Out",27,NA
"Finger Out",30,NA
"Finger Out",29,NA
"Normal",39,NA
"Normal",34,NA
"Normal",36,NA
"Normal",37,NA
"Normal",30,NA
"Normal",28,NA
"Normal",30,NA
"Normal",31,NA
"Inverted",33,NA
"Inverted",34,NA
"Inverted",36,NA
"Inverted",37,NA
"Inverted",30,NA
"Inverted",28,NA
"Inverted",30,NA
"Inverted",31,NA
