STATE,COUNTYNAME,FIPS,LON,LAT
ME,Washington,"23029",-67.63610000000,45.03630000000
GA,McIntosh,"13191",-81.26460000000,31.53290000000
GA,Liberty,"13179",-81.21030000000,31.70930000000
AS,Swains Island,"60040",-171.04590000000,-11.08430000000
AS,Manu'a,"60020",-169.50600000000,-14.22190000000
AS,Western,"60050",-170.76910000000,-14.32410000000
AS,Eastern,"60010",-170.65960000000,-14.27630000000
PR,Anasco,"72011",-67.12210000000,18.28700000000
PR,Arroyo,"72015",-66.05630000000,17.99820000000
PR,Barceloneta,"72017",-66.56050000000,18.44540000000
PR,Barranquitas,"72019",-66.30990000000,18.20170000000
PR,Bayamon,"72021",-66.16840000000,18.34970000000
PR,Caguas,"72025",-66.05080000000,18.21190000000
PR,Canovanas,"72029",-65.88790000000,18.32880000000
PR,Cayey,"72035",-66.14950000000,18.10290000000
PR,Ceiba,"72037",-65.66780000000,18.25260000000
PR,Ciales,"72039",-66.51640000000,18.28890000000
PR,Cidra,"72041",-66.16110000000,18.17370000000
PR,Coamo,"72043",-66.36010000000,18.09720000000
PR,Comerio,"72045",-66.22190000000,18.22480000000
PR,Corozal,"72047",-66.32790000000,18.30430000000
PR,Florida,"72054",-66.56010000000,18.37350000000
PR,Guanica,"72055",-66.91980000000,17.98270000000
PR,Guayama,"72057",-66.13360000000,18.00770000000
PR,Guayanilla,"72059",-66.79160000000,18.04060000000
PR,Guaynabo,"72061",-66.11450000000,18.34420000000
PR,Gurabo,"72063",-65.97910000000,18.26630000000
PR,Hatillo,"72065",-66.79640000000,18.41060000000
PR,Hormigueros,"72067",-67.11400000000,18.13410000000
PR,Mayaguez,"72097",-67.33700000000,18.17160000000
PR,Naguabo,"72103",-65.75420000000,18.23060000000
PR,Jayuya,"72073",-66.58850000000,18.21060000000
PR,Juana Diaz,"72075",-66.49510000000,18.05070000000
PR,Juncos,"72077",-65.90890000000,18.22360000000
PR,Lajas,"72079",-67.04040000000,18.01230000000
PR,Lares,"72081",-66.86690000000,18.26890000000
PR,Las Piedras,"72085",-65.86930000000,18.18760000000
PR,Manati,"72091",-66.49020000000,18.42040000000
PR,Maricao,"72093",-66.94240000000,18.17210000000
PR,Maunabo,"72095",-65.92190000000,18.01800000000
PR,Moca,"72099",-67.08080000000,18.37790000000
PR,Morovis,"72101",-66.42020000000,18.31710000000
PR,Naranjito,"72105",-66.25260000000,18.28840000000
PR,Orocovis,"72107",-66.43390000000,18.21490000000
PR,Patillas,"72109",-66.01220000000,18.03170000000
PR,Penuelas,"72111",-66.72110000000,18.06080000000
PR,Ponce,"72113",-66.61410000000,18.05970000000
PR,Sabana Grande,"72121",-66.94350000000,18.08300000000
PR,Salinas,"72123",-66.25640000000,18.01150000000
PR,San German,"72125",-67.03850000000,18.11110000000
PR,San Juan,"72127",-66.06070000000,18.38640000000
PR,San Lorenzo,"72129",-65.97640000000,18.14800000000
PR,Santa Isabel,"72133",-66.38890000000,17.99500000000
PR,Trujillo Alto,"72139",-65.99920000000,18.33620000000
PR,Utuado,"72141",-66.70240000000,18.27100000000
PR,Vega Alta,"72143",-66.33720000000,18.40930000000
PR,Villalba,"72149",-66.47290000000,18.12800000000
PR,Yabucoa,"72151",-65.89650000000,18.07060000000
PR,Yauco,"72153",-66.85860000000,18.08010000000
PR,San Sebastian,"72131",-66.97120000000,18.32880000000
PR,Adjuntas,"72001",-66.75420000000,18.17980000000
PR,Aguas Buenas,"72007",-66.12680000000,18.25170000000
PR,Aibonito,"72009",-66.26440000000,18.13110000000
VI,Saint Croix,"78010",-64.76770000000,17.73330000000
PR,Arecibo,"72013",-66.67520000000,18.40680000000
PR,Las Marias,"72083",-66.98350000000,18.23710000000
PR,Rincon,"72117",-67.24140000000,18.33740000000
PR,Aguadilla,"72005",-67.12070000000,18.45970000000
PR,Isabela,"72071",-67.00520000000,18.44990000000
PR,Camuy,"72027",-66.86020000000,18.41880000000
PR,Dorado,"72051",-66.27870000000,18.43650000000
PR,Toa Alta,"72135",-66.24640000000,18.36260000000
PR,Aguada,"72003",-67.17480000000,18.36030000000
PR,Culebra,"72049",-65.28770000000,18.31590000000
PR,Cabo Rojo,"72023",-67.15370000000,18.04150000000
PR,Fajardo,"72053",-65.66860000000,18.31760000000
PR,Vieques,"72147",-65.44140000000,18.12310000000
PR,Carolina,"72031",-65.95670000000,18.37420000000
VI,Saint Thomas,"78030",-64.93020000000,18.34530000000
PR,Quebradillas,"72115",-66.92600000000,18.43970000000
PR,Catano,"72033",-66.14400000000,18.43740000000
PR,Luquillo,"72089",-65.72490000000,18.34220000000
PR,Humacao,"72069",-65.81050000000,18.14520000000
VI,Saint John,"78020",-64.73850000000,18.33900000000
PR,Rio Grande,"72119",-65.82020000000,18.35530000000
PR,Loiza,"72087",-65.92470000000,18.43400000000
GU,Guam,"66010",144.77490000000,13.44190000000
