"friends","gpa","shoes","siblings","exercise","tv","sex","major"
200,3.4,12,1,6,2,"female","non-science"
1200,3.4,10,0,10,3,"female","science"
1200,3.8,13,2,9,1,"male","non-science"
669,3.4,20,1,8,10,"male","non-science"
275,3.92,8,1,12,0,"male","science"
200,3.45,11,2,7,3,"female","non-science"
243,2.8,10,2,8,0,"male","non-science"
400,3,12,1,15,5,"female","science"
1500,3.57,9,3,9,0,"female","science"
400,3.4,9,1,12,4,"female","science"
250,2.9,5,1,7,10,"male","non-science"
114,3.4,20,2,5,1,"female","non-science"
500,3.8,8,1,1,0,"female","science"
657,3.53,10,2,10,1,"female","non-science"
600,3.81,12,1,12,1,"female","science"
1430,3.5,8,2,10,2,"male","non-science"
737,3.941,5,0,8,0,"male","non-science"
312,3.09,4,1,20,1,"male","science"
200,3.7,10,0,12,0,"female","non-science"
